%
%  Arff file example
%
@relation 'activity-recognition-data'
@attribute 'average_x' numeric
@attribute 'average_y' numeric
@attribute 'average_z' numeric 
@attribute 'standardDeviation_x' numeric
@attribute 'standardDeviation_y' numeric
@attribute 'standardDeviation_z' numeric 
@attribute 'averageAbsoluteDifference_x' numeric
@attribute 'averageAbsoluteDifference_y' numeric
@attribute 'averageAbsoluteDifference_z' numeric 
@attribute 'binnedDistribution1' numeric
@attribute 'binnedDistribution2' numeric
@attribute 'binnedDistribution3' numeric
@attribute 'binnedDistribution4' numeric
@attribute 'binnedDistribution5' numeric
@attribute 'binnedDistribution6' numeric
@attribute 'binnedDistribution7' numeric
@attribute 'binnedDistribution8' numeric
@attribute 'binnedDistribution9' numeric
@attribute 'binnedDistribution10' numeric
@attribute 'binnedDistribution11' numeric
@attribute 'binnedDistribution12' numeric
@attribute 'binnedDistribution13' numeric
@attribute 'binnedDistribution14' numeric
@attribute 'binnedDistribution15' numeric
@attribute 'binnedDistribution16' numeric
@attribute 'binnedDistribution17' numeric
@attribute 'binnedDistribution18' numeric
@attribute 'binnedDistribution19' numeric
@attribute 'binnedDistribution20' numeric
@attribute 'binnedDistribution21' numeric
@attribute 'binnedDistribution22' numeric
@attribute 'binnedDistribution23' numeric
@attribute 'binnedDistribution24' numeric
@attribute 'binnedDistribution25' numeric
@attribute 'binnedDistribution26' numeric
@attribute 'binnedDistribution27' numeric
@attribute 'binnedDistribution28' numeric
@attribute 'binnedDistribution29' numeric
@attribute 'binnedDistribution30' numeric
@attribute 'class' {'run','walk','stand','sit','down','up'}
@data
1.2539873,-8.080718,0.093086645,7.334106,9.215266,10.66196,5.8877892,8.03767,8.657495,5.0,7.0,11.0,43.0,36.0,34.0,31.0,16.0,9.0,8.0,55.0,20.0,11.0,13.0,33.0,27.0,20.0,5.0,8.0,8.0,17.0,13.0,22.0,23.0,32.0,27.0,20.0,13.0,7.0,26.0,'run'
0.9620859,-8.12879,0.18885449,7.774294,9.681118,11.403261,5.9923425,8.481446,9.482951,8.0,8.0,14.0,28.0,45.0,41.0,22.0,16.0,8.0,5.0,70.0,9.0,19.0,17.0,17.0,30.0,15.0,13.0,10.0,4.0,21.0,15.0,21.0,27.0,17.0,32.0,19.0,5.0,14.0,30.0,'run'
1.3917013,-7.967326,-0.064164646,7.9681973,9.532151,10.473861,6.2570887,8.215152,8.443845,5.0,7.0,7.0,31.0,44.0,39.0,28.0,17.0,10.0,8.0,63.0,19.0,17.0,28.0,31.0,19.0,13.0,9.0,3.0,2.0,13.0,12.0,24.0,30.0,31.0,25.0,21.0,13.0,5.0,26.0,'run'
1.1245086,-8.24601,-0.012641366,8.579914,9.54663,11.027911,6.7412505,8.335304,9.066675,8.0,8.0,9.0,31.0,36.0,37.0,31.0,17.0,11.0,12.0,69.0,10.0,13.0,30.0,28.0,25.0,13.0,6.0,4.0,2.0,21.0,13.0,21.0,20.0,28.0,30.0,21.0,13.0,11.0,22.0,'run'
1.029315,-8.265934,0.24593239,8.405105,9.62076,11.123758,6.540809,8.26547,9.256779,7.0,9.0,8.0,28.0,34.0,45.0,23.0,28.0,8.0,8.0,68.0,18.0,14.0,26.0,30.0,16.0,15.0,8.0,2.0,4.0,19.0,16.0,23.0,18.0,23.0,29.0,19.0,19.0,11.0,24.0,'run'
1.3137462,-8.028043,0.36698306,7.9864287,9.956608,10.752284,6.2002587,8.733715,8.820625,5.0,8.0,11.0,21.0,36.0,46.0,33.0,22.0,7.0,11.0,69.0,14.0,9.0,19.0,29.0,23.0,15.0,11.0,7.0,4.0,20.0,9.0,20.0,25.0,26.0,28.0,22.0,13.0,17.0,20.0,'run'
1.0262505,-8.110022,0.14058761,8.347844,9.600373,10.88303,6.3975286,8.344082,8.868636,6.0,7.0,8.0,29.0,40.0,47.0,27.0,11.0,9.0,13.0,65.0,21.0,12.0,16.0,33.0,26.0,11.0,6.0,8.0,4.0,22.0,15.0,20.0,13.0,30.0,32.0,23.0,12.0,11.0,23.0,'run'
-1.821701,-3.1358309,9.284721,0.11928857,0.12911522,0.065171815,0.09302514,0.09986679,0.05142838,15.0,40.0,57.0,41.0,30.0,15.0,0.0,1.0,0.0,0.0,19.0,26.0,40.0,55.0,44.0,9.0,6.0,1.0,0.0,1.0,23.0,40.0,47.0,45.0,0.0,27.0,9.0,6.0,1.0,2.0,'sit'
-1.821701,-3.1358309,9.284721,0.11928857,0.12911522,0.065171815,0.09302514,0.09986679,0.05142838,15.0,40.0,57.0,41.0,30.0,15.0,0.0,1.0,0.0,0.0,19.0,26.0,40.0,55.0,44.0,9.0,6.0,1.0,0.0,1.0,23.0,40.0,47.0,45.0,0.0,27.0,9.0,6.0,1.0,2.0,'sit'
-1.6853268,-3.1379375,9.300623,0.06170886,0.06807246,0.048996106,0.048119497,0.053070534,0.03838171,11.0,0.0,21.0,91.0,0.0,42.0,32.0,0.0,2.0,1.0,1.0,3.0,11.0,18.0,91.0,31.0,0.0,28.0,11.0,6.0,6.0,25.0,49.0,0.0,68.0,34.0,0.0,14.0,3.0,1.0,'sit'
